,p_from_mw
149,-640.3630672117075
150,-903.5447629796774
151,978.4506689589238
152,384.25603393174
153,-449.3205672523483
154,491.7788830755495
155,-79.5217464765342
156,-119.4638897063032
157,-269.0939905242091
158,-132.07399560713566
159,178.684606655861
160,-111.7512318200508
161,329.96677032661535
162,-369.26444869948216
163,743.7671645763155
164,-436.6778693227853
165,59.17742744153515
166,-879.9962324009451
167,-702.3767294566418
168,928.96303665471
169,-27.289042468412674
170,387.89418904799163
171,-705.1411980333238
172,-511.5595156170823
173,-10.413302687852987
174,-250.29627579537572
175,-183.983598407647
176,-142.7294708508092
177,66.01883062173215
178,19.892068317162472
179,-378.5083701599475
180,-956.2759854863683
181,-394.3976102563511
182,-166.66037546796963
183,1039.5636933129451
184,-338.93513670710223
185,-51.183261224618015
186,437.4519350627924
187,327.7676266464134
188,-109.00366647641644
189,-520.8083349652417
190,24.155894849433555
191,46.43677545844027
192,605.8673973587728
193,140.1040852509717
194,93.80274149148572
195,944.4832486235838
196,244.3210520135827
197,818.497844497436
198,476.1717174315389
199,-1168.8816827371916
200,266.59012670039976
201,-29.57534046445014
202,237.50010607886773
203,-368.0919219792244
204,255.141443952131
205,347.457804942395
206,34.278198687858605
207,-220.7723111459159
208,23.51663137048355
209,245.16493834586325
210,575.5115945758946
211,544.2452289534251
212,-31.116780705259615
213,390.7296521956328
214,-477.1253232782189
215,-439.736179195303
216,-38.76810546420756
217,-482.02197301056464
218,-637.7695413779478
219,-625.0337095249154
220,111.30908798556175
221,-324.84249334108847
222,209.3864016325286
223,-185.25809804076914
224,925.835482458745
225,-944.3162703379378
226,479.65202341031795
227,-1072.8378362163517
228,1453.687420244882
229,911.7123564180921
230,-1639.0349320431108
231,614.3794941192369
232,-208.07762782174765
233,427.34545055719605
234,-664.2965933869127
235,1322.4388057297551
236,-478.21063407205645
237,-842.8529506421326
238,1424.165950954039
239,-1291.153244753228
240,-150.70101107194228
241,-387.4129030648146
242,-432.12340015999075
243,-1055.7085945871463
244,-1800.7797646451693
245,107.82380682201574
246,-48.2774086978352
247,264.3979491873006
248,-2717.3755673202895
249,-991.9654961649724
250,-174.85141169509785
251,-577.2113558321363
252,408.3451939830017
253,-185.13410896849888
254,8.786981115285352
255,-21.78593361496502
256,-13.639532206792028
257,3120.649988946961
258,2795.184193603486
259,-299.31554852260774
260,-202.42584823551277
261,775.4479651229261
262,1898.6735569447478
263,459.08916269274283
